index	Years	Categories	nPPA
0	9999	IBM	0
1	9999	COGNITIVE SCALE	0
2	9999	MICROSOFT	0
3	9999	SALESFORCE.COM	0
4	9999	NEWVALUEXCHANGE	0
5	9999	SOON-SHIONG PATRICK	0
6	9999	Z ADVANCED COMPUTING	0
7	9999	NARA LOGICS	0
8	9999	BATTELLE MEMORIAL INSTITUTE	0
9	9999	GOOGLE	0
0	2007	GOOGLE	2
1	2007	SALESFORCE.COM	4
2	2008	IBM	3
3	2008	MICROSOFT	1
4	2009	IBM	1
5	2010	IBM	6
6	2010	NEWVALUEXCHANGE	7
7	2010	SALESFORCE.COM	3
8	2011	BATTELLE MEMORIAL INSTITUTE	4
9	2011	GOOGLE	1
10	2011	IBM	9
11	2011	MICROSOFT	1
12	2011	NARA LOGICS	6
13	2011	SOON-SHIONG PATRICK	7
14	2011	Z ADVANCED COMPUTING	7
15	2012	BATTELLE MEMORIAL INSTITUTE	1
16	2012	IBM	10
17	2012	MICROSOFT	2
18	2012	SALESFORCE.COM	2
19	2013	GOOGLE	1
20	2013	IBM	18
21	2013	MICROSOFT	4
22	2014	GOOGLE	1
23	2014	IBM	11
24	2014	MICROSOFT	1
25	2015	IBM	8
26	2016	COGNITIVE SCALE	9
27	2016	IBM	1
