index	Categories	CurrentAssignees	nPPA
0	9999	IBM	0
1	9999	COGNITIVE SCALE	0
2	9999	MICROSOFT	0
3	9999	SALESFORCE.COM	0
4	9999	NEWVALUEXCHANGE	0
5	9999	SOON-SHIONG PATRICK	0
6	9999	Z ADVANCED COMPUTING	0
7	9999	NARA LOGICS	0
8	9999	BATTELLE MEMORIAL INSTITUTE	0
9	9999	GOOGLE	0
25	G06N-005/04	IBM	32
3	G06N-005/02	IBM	30
11	G06N-005/02/2	IBM	30
18	G06N-005/02/5	IBM	28
58	G06N-099/00/5	IBM	26
44	G06N-005/04/7	IBM	12
39	G06N-005/04/6	IBM	10
23	G06N-005/04	COGNITIVE SCALE	9
29	G06N-005/04	SALESFORCE.COM	9
1	G06N-005/02	COGNITIVE SCALE	9
57	G06N-099/00/5	COGNITIVE SCALE	9
31	G06N-005/04/3	COGNITIVE SCALE	9
47	G06N-005/04/8	COGNITIVE SCALE	9
52	G06N-007/00/5	IBM	9
33	G06N-005/04/3	IBM	8
43	G06N-005/04/6	Z ADVANCED COMPUTING	7
46	G06N-005/04/7	Z ADVANCED COMPUTING	7
36	G06N-005/04/3	SOON-SHIONG PATRICK	7
30	G06N-005/04	SOON-SHIONG PATRICK	7
55	G06N-007/00/5	Z ADVANCED COMPUTING	7
28	G06N-005/04	NEWVALUEXCHANGE	7
42	G06N-005/04/6	SOON-SHIONG PATRICK	7
61	G06N-099/00/5	Z ADVANCED COMPUTING	7
21	G06N-005/02/5	SOON-SHIONG PATRICK	7
6	G06N-005/02	NEWVALUEXCHANGE	7
16	G06N-005/02/2	SOON-SHIONG PATRICK	7
8	G06N-005/02	Z ADVANCED COMPUTING	7
14	G06N-005/02/2	NEWVALUEXCHANGE	7
27	G06N-005/04	NARA LOGICS	6
5	G06N-005/02	NARA LOGICS	6
13	G06N-005/02/2	NARA LOGICS	6
0	G06N-005/02	BATTELLE MEMORIAL INSTITUTE	5
2	G06N-005/02	GOOGLE	5
53	G06N-007/00/5	MICROSOFT	5
49	G06N-005/04/8	IBM	5
37	G06N-005/04/6	BATTELLE MEMORIAL INSTITUTE	4
9	G06N-005/02/2	BATTELLE MEMORIAL INSTITUTE	4
22	G06N-005/04	BATTELLE MEMORIAL INSTITUTE	4
15	G06N-005/02/2	SALESFORCE.COM	4
26	G06N-005/04	MICROSOFT	4
20	G06N-005/02/5	SALESFORCE.COM	4
50	G06N-005/04/8	MICROSOFT	3
60	G06N-099/00/5	SALESFORCE.COM	3
54	G06N-007/00/5	SALESFORCE.COM	3
51	G06N-005/04/8	SALESFORCE.COM	3
35	G06N-005/04/3	SALESFORCE.COM	3
12	G06N-005/02/2	MICROSOFT	3
45	G06N-005/04/7	MICROSOFT	3
7	G06N-005/02	SALESFORCE.COM	2
17	G06N-005/02/5	GOOGLE	2
24	G06N-005/04	GOOGLE	2
4	G06N-005/02	MICROSOFT	2
41	G06N-005/04/6	SALESFORCE.COM	2
59	G06N-099/00/5	MICROSOFT	2
48	G06N-005/04/8	GOOGLE	1
32	G06N-005/04/3	GOOGLE	1
34	G06N-005/04/3	MICROSOFT	1
19	G06N-005/02/5	MICROSOFT	1
10	G06N-005/02/2	GOOGLE	1
56	G06N-099/00/5	BATTELLE MEMORIAL INSTITUTE	1
40	G06N-005/04/6	MICROSOFT	1
38	G06N-005/04/6	GOOGLE	1
